Major,MajorName,Campus,College,Major_Abbr,Pathway,deg_level,deg_type,DegreeLevelTypeDesc,deg_title,StartQtr,EndQtr,CIP_Code,Dept_Code,Department,dept_fas_org_code,Funding,OnlineOnly
1-B HLTH-00-11,Health Studies (Bothell),Bothell     ,V - UW Bothell              ,B HLTH,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (HEALTH STUDIES)                           ,2022 Winter,No End Quarter,512299,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B IA-00-11,Interdisciplinary Arts (Bothell),Bothell     ,V - UW Bothell              ,B IA  ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISCIPLINARY ARTS)                   ,2010 Autumn,No End Quarter,509999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B IMD-00-11,Interactive Media Design (Bothell),Bothell     ,V - UW Bothell              ,B IMD ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERACTIVE MEDIA DESIGN)                 ,2013 Autumn,No End Quarter,110801,1089,INTERACTIVE MEDIA DESIGN,5350001000,Tuition Based,
1-B IND-00-11,Individualized Study (Bothell Campus),Bothell     ,V - UW Bothell              ,B IND ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INDIVIDUALIZED STUDY)                     ,2021 Autumn,No End Quarter,240102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B IND-20-11,Interdisciplinary Studies (Social Science),Bothell     ,V - UW Bothell              ,B IND ,20,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISCIPLINARY STUDIES: SOCIAL SCIENCE),2021 Autumn,No End Quarter,240102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B LEPP-00-11,"Law, Economics & Public Policy (Bothell)",Bothell     ,V - UW Bothell              ,B LEPP,00,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (LAW, ECONOMICS, AND PUBLIC POLICY)        ",2013 Autumn,No End Quarter,451004,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B MATH-00-15,Mathematics (Bothell Campus),Bothell     ,V - UW Bothell              ,B MATH,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (MATHEMATICS)                           ,2015 Spring,No End Quarter,270101,1092,ENGINEERING AND MATH    ,5500004000,Tuition Based,
1-B MBA-00-20,Business Admin: Technology (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,00,2,0,Grad Non-Matric,MASTER OF BUSINESS ADMINISTRATION                           ,2009 Winter,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-00-20,Business Admin: Technology (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,00,2,0,Grad Non-Matric,MASTER OF BUSINESS ADMINISTRATION (TECHNOLOGY)              ,2009 Winter,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-00-27,Business Admin: Technology (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,00,2,7,Master Of,MASTER OF BUSINESS ADMINISTRATION                           ,2009 Winter,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-00-27,Business Admin: Technology (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,00,2,7,Master Of,MASTER OF BUSINESS ADMINISTRATION (TECHNOLOGY)              ,2009 Winter,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-10-27,Business Admin: Leadership (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,10,2,7,Master Of,MASTER OF BUSINESS ADMINISTRATION (LEADERSHIP)              ,2008 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-20-27,Business Admin (Bothell)(Concur) Pharm D,Bothell     ,V - UW Bothell              ,B MBA ,20,2,7,Master Of,MASTER OF BUSINESS ADMINISTRATION                           ,2016 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MBA-50-27,Business Administration (Bothell),Bothell     ,V - UW Bothell              ,B MBA ,50,2,7,Master Of,MASTER OF BUSINESS ADMINISTRATION                           ,2019 Autumn,No End Quarter,520201,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-B MCS-00-11,Media & Communication Studies (Bothell),Bothell     ,V - UW Bothell              ,B MCS ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (MEDIA AND COMMUNICATION STUDIES)          ,2013 Autumn,No End Quarter,090102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B ME-00-16,Mechanical Engineering (Bothell),Bothell     ,V - UW Bothell              ,B ME  ,00,1,6,Bachelor Of Science In,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING               ,2014 Autumn,No End Quarter,141901,1092,ENGINEERING AND MATH    ,5500004000,Tuition Based,
1-B MTV-00-11,Mathematical Thinking and Visualization,Bothell     ,V - UW Bothell              ,B MTV ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (MATHEMATICAL THINKING AND VISUALIZATION)  ,2022 Spring,No End Quarter,307103,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B NURS-00-00,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,0,0,No Degree Level,BACHELOR OF SCIENCE IN NURSING                              ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-00,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,0,0,No Degree Level,MASTER OF NURSING                                           ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-00,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,0,0,No Degree Level,POST MASTER                                                 ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-16,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,1,6,Bachelor Of Science In,BACHELOR OF SCIENCE IN NURSING                              ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-20,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,2,0,Grad Non-Matric,BACHELOR OF SCIENCE IN NURSING                              ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-20,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,2,0,Grad Non-Matric,MASTER OF NURSING                                           ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-20,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,2,0,Grad Non-Matric,POST MASTER                                                 ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-27,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,2,7,Master Of,MASTER OF NURSING                                           ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-B NURS-00-30,Nursing (Bothell Campus),Bothell     ,V - UW Bothell              ,B NURS,00,3,0,Pre-Doctor,POST MASTER                                                 ,1989 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
