,Major1,Ethnicity_Race,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
45,Environmental Studies,ASIAN,3,19,13.636,1911,3733,33.859,0.4027401170258313,0.17535048902272898,1.2038590733600327,0.2273896280031023,0.8011189563342014,0.11354595715742122
46,Accounting,ASIAN,8,14,36.364,1911,3733,33.859,1.0739736454022168,0.6556820589320764,1.898213868621793,0.4182915864701404,0.8242402232195762,0.6865877531866721
47,Master of Fine Arts in Creative Writing and Poetics,ASIAN,2,21,8.696,1911,3733,33.859,0.2568197847700953,0.0973280505098631,1.0146557562020697,0.15949173426023222,0.7578359714319745,0.05291242913249185
48,Physics,ASIAN,8,17,32.0,1911,3733,33.859,0.9450968079539509,0.5679016818876871,1.7062965178321603,0.3771951260662638,0.7611997098782094,0.9552725456934813
49,Electrical Engineering,ASIAN,66,114,36.667,1911,3733,33.859,1.0829234257805687,0.8956726981088473,1.3214472779149795,0.18725072767172135,0.23852385213441085,0.3956466928796173
50,Business,ASIAN,313,429,42.183,1911,3733,33.859,1.245852850781615,1.1375441076924002,1.3665249941353665,0.10830874308921468,0.12067214335375165,2.4238673755652544e-06
51,Education,ASIAN,30,138,17.857,1911,3733,33.859,0.5273977722957315,0.3868889412317606,0.7384803176160313,0.14050883106397088,0.2110825453202998,0.0001457247882784143
52,All Majors,ASIAN,1911,3733,33.859,1911,3733,33.859,1.0,0.9497490162385661,1.0529097507891616,0.05025098376143389,0.0529097507891616,1.0
53,Mechanical Engineering,ASIAN,35,60,36.842,1911,3733,33.859,1.0881048775785618,0.8436189815001444,1.4283052793431794,0.24448589607841742,0.34020040176461763,0.4877016357115659
54,Nursing,HAW/PAC,1,174,0.571,20,5624,0.354,1.6125714285714285,0.4520206582915835,12.267185359648911,1.160550770279845,10.654613931077483,0.3091315670961342
55,Business (MBA),HAW/PAC,0,81,0.0,20,5624,0.354,0.0,0.1035264324504504,27.66937477350891,0.1035264324504504,27.66937477350891,0.7120482257557224
56,Biology,HAW/PAC,0,182,0.0,20,5624,0.354,0.0,0.04601754266063446,12.414308928043143,0.04601754266063446,12.414308928043143,0.844578835745727
57,Psychology,HAW/PAC,1,173,0.575,20,5624,0.354,1.6218390804597702,0.4546282952766532,12.337015197339598,1.167210785183117,10.715176116879828,0.3059036258959441
58,Chemistry,HAW/PAC,0,40,0.0,20,5624,0.354,0.0,0.2101175321439407,55.205542876380406,0.2101175321439407,55.205542876380406,0.38854032909933855
59,Master of Policy Studies,HAW/PAC,0,11,0.0,20,5624,0.354,0.0,0.7726486570870009,186.17579117068817,0.7726486570870009,186.17579117068817,0.07579596981997883
60,Mathematics,HAW/PAC,0,76,0.0,20,5624,0.354,0.0,0.11035360074243931,29.461559811139807,0.11035360074243931,29.461559811139807,0.6791680737638104
61,Mathematical Thinking and Visualization,HAW/PAC,0,72,0.0,20,5624,0.354,0.0,0.11649974906239416,31.071590571729818,0.11649974906239416,31.071590571729818,0.6517323189188
62,Computing and Software Systems,HAW/PAC,2,716,0.279,20,5624,0.354,0.7860724233983287,0.2584691199861349,3.553570883705799,0.5276033034121939,2.76749846030747,0.9493018693082607
63,Environmental Studies,HAW/PAC,0,22,0.0,20,5624,0.354,0.0,0.3834030416859262,98.02058176847446,0.3834030416859262,98.02058176847446,0.199803645902063
64,Accounting,HAW/PAC,0,22,0.0,20,5624,0.354,0.0,0.3834030416859262,98.02058176847446,0.3834030416859262,98.02058176847446,0.199803645902063
65,Master of Fine Arts in Creative Writing and Poetics,HAW/PAC,0,23,0.0,20,5624,0.354,0.0,0.36660811611061195,93.97270080546663,0.36660811611061195,93.97270080546663,0.21101692801160632
66,Physics,HAW/PAC,0,25,0.0,20,5624,0.354,0.0,0.3370759884287738,86.80289902232857,0.3370759884287738,86.80289902232857,0.23323854751296136
67,Electrical Engineering,HAW/PAC,2,178,1.111,20,5624,0.354,3.135555555555556,1.0351497160903131,14.059374806797111,2.1004058394652425,10.923819251241556,0.04423329368984489
68,Business,HAW/PAC,2,740,0.27,20,5624,0.354,0.7606469002695418,0.2500980830518463,3.4389348800097705,0.5105488172176955,2.6782879797402286,0.9102527695625162
69,Education,HAW/PAC,2,166,1.19,20,5624,0.354,3.3595238095238096,1.1095137054170132,15.051880590224307,2.2500101041067966,11.692356780700498,0.03432884619119927
70,All Majors,HAW/PAC,20,5624,0.354,20,5624,0.354,1.0,0.5427740086688507,1.8423874099139208,0.4572259913311493,0.8423874099139208,1.0
71,Mechanical Engineering,HAW/PAC,0,95,0.0,20,5624,0.354,0.0,0.08824079277816427,23.64238196768002,0.08824079277816427,23.64238196768002,0.7965640277319825
72,Nursing,HISPANIC,10,165,5.714,550,5094,9.745,0.5863896103896103,0.33947122875563535,1.1087510343206644,0.246918381633975,0.522361423931054,0.10564838076123857
73,Business (MBA),HISPANIC,8,73,9.877,550,5094,9.745,1.01351290684624,0.5632945977033256,2.030548912946066,0.4502183091429145,1.0170360060998258,0.837288651859853
74,Biology,HISPANIC,18,164,9.89,550,5094,9.745,1.0149050949050948,0.6699796663544719,1.6126241944976993,0.3449254285506229,0.5977190995926045,0.8629605023708147
75,Psychology,HISPANIC,28,146,16.092,550,5094,9.745,1.6513270637408568,1.1859644330984083,2.364762748999174,0.46536263064244854,0.7134356852583172,0.0034034626425021746
76,Chemistry,HISPANIC,5,35,12.5,550,5094,9.745,1.2827272727272727,0.6378413895820213,3.0407028702663768,0.6448858831452514,1.757975597539104,0.40579008035429887
77,Master of Policy Studies,HISPANIC,0,11,0.0,550,5094,9.745,0.0,0.02974202784146926,6.7076215787714215,0.02974202784146926,6.7076215787714215,0.5598419018440646
78,Mathematics,HISPANIC,7,69,9.211,550,5094,9.745,0.9451674641148324,0.5071657718008911,1.992916280936001,0.43800169231394137,1.0477488168211686,0.9877943642088116
79,Mathematical Thinking and Visualization,HISPANIC,7,65,9.722,550,5094,9.745,0.9976767676767677,0.5362330018639082,2.0986097338350893,0.4614437658128595,1.1009329661583216,0.8653035745777053
